,Review Header,Reviews,Ratings
63,Best in the market!,EXCELLENT MOBILE.... COLOR SUPERCAMERA IS MAJOR HIGHLIGHTPROCESSOR NICEWAITING  FOR OREO UPDATES,5.0
64,Worth every penny,Super mobile,5.0
65,Mind-blowing purchase,"It's a swag phone.  I had been trying since the first sale but at last i got my hands on this.   It is a totally beast phone at this price.  1. The SDN636 PROCESSOR IS ULTRA FAST Which makes the device very fluid  2.  The Camera Quality is Wonderful both front and rear and REALLY IT IS INDIA'S CAMERA BEAST @14k    3.Adreno 509 GPU provides fantastic graphics when you play immersive games like asphalt 8,       4.The screen quality is gorgeous  and feels like an  amoled display.  5. Battery backup is insane.",5.0
66,Excellent,"India's Camera Beast....Great phone under 15k price range. No Heating issues, just like a DSLR photography.  Battery good enough for 1 day but it goes more than one day for normal user.Only one Con - Oreo is missing for Indian Users.",5.0
67,Pretty good,the best 😍the camera is awesome battery backup is smoothnice display no lags and no heating premium look i couldn't find any negatives for the phone even the speakers are lit don't think just go for it u won't regret,4.0
68,Very Good,awesome phone on low budget..,4.0
69,Terrific purchase,best best best..... nothing to say,5.0
70,Bluffing the Customer with 10 Days Return Policy,"Sent me a defective  handset which is having heating & battery draining issue, my handset reaching 45 to 48c heat and battery is getting drained with in 6 to 7 hours of minimum usage when i have reported the issue they are ready to time pass on it rather than solving it. The Technical guys who visited my house spent 5 min of time and play some Youtube videos and decides that the handset is working fine they don't use any tools they don't run any diagnostics to check the issue and they will be ready to close the case by showing that technical person has helped to solve the issue. After killing 10 days when i have reported the same thing they have come up with an answer that your 10 days time has passed and your are not eligible.",1.0
71,Awesome,is it S8?is it 5t or iphone XCant explain what i am feeling Right nowBest phone yet by XiaomiKeep it upand the delivery service by Flipkartis just took around 30 hoursSalute,5.0
72,Wonderful,Lovely mobile for a lovely price its a piece of excellence,5.0
73,Best Redmi Note Ever !! Best Option under 15K range !! ❤️,"This Phone is Just Fabulous!!First of all Thanks to Flipkart & Ekart Logistics for delivering the product before completing 24 hours of placing the order !!Phone was well packed and I loved it ..In Packet Accessories:Phone, Back Cover, Travel Adaptor, Data Cable, SIM Ejection PinPros:* Premium Design* 18:9 Aspect Ratio Display* Rounded Display Corners* Qualcomm Snapdragon 636 Processor* Huge 4000 mAh Battery* Front & Rear Camera both are awesomeCons:* No USB Type-C in 2018 That's my first impressions of Redmi Note 5 Pro !!This is truly India's Camera Beast !!(UPDATE)Full Review after 15 Days usage:Used it for 15 days as my primary smartphone and I must say that you won't find better option than Redmi Note 5 Pro under 15K-17K price range.Design is personal preference and I loved the design very much. It's easy to hold in a single hand. Battery easily lasts for 1.5 days in a single charge with moderate usage.Voice/Video Call quality is excellent! Display is crisp and smooth. Rear camera quality is just superb! 20MP front camera is outstanding and it takes perfect portrait selfies and low light selfies as it's having front facing flash. And the built quality of the phone is outstanding! I just feel a premium smartphone in my hand when I hold this phone! I love the MIUI because it provides lots of customizations.My Rating:• Battery: 5/5• Built Quality: 4.7/5• Camera: 4.7/5• Call Quality: 4.5/5• UI Experience: 4.6/5GO FOR THIS SMARTPHONE WITHOUT ANY CONFUSION !! THE BEST REDMI EVER !! ❤️Thank you so much.. :)",5.0
74,Awesome,superb....nice mobile.... very nice camera....,5.0
75,flipkart fooling customers,Seller cancels order after receiving payment after putting so much effort and wasting time on their flash sale they simply cancel your order and then you dont know when you wil get your money back.,1.0
76,Worth every penny,After Using This Beast One Week The Only Thing I Would Like To Say That You Must Go On If You Are Thinking To Buy This. No Phone Stands Near It   At This Price Range.,5.0
77,Fabulous!,vary nice Phone,5.0
78,Wonderful,"VALUE FOR MONEYAwesome phone good for gaming with 4000mah battery look pretty good , excellent performance . And I like it 👍👌",5.0
79,Just wow!,"I've fallen in love!R- Raging SpeedE- Excellent Performance D- Dynamic Display M- Metal Build I- Incredible Battery Life N- Noteworthy O- Outstanding T- Top Notch SpecsE- Ergonomical5- Fabulous, Fantastic, Furious, Futuristic, Fantabulous",5.0
80,Wonderful,Great quality... just looking for nxt sale for my sis,5.0
81,Wonderful,"Redmi note 5 pro best power pack model of Xiaomi.. Stunning look like premium flagship model, easy to hold in and.. 636 chep set very powerful. Jast love this  Mobile.. Great job Xiaomi India, And thanks to flipkart for quick delivery. ♥️♥️",5.0
82,Very Good,Awesome PHN Value of money love it,4.0
83,Best in the market!,Best phone but price is to high not prb the camera is great.. And display is ok battery is good i like the portrait mode of this phone. Iike the phone very much...,5.0
84,Terrific purchase,Fabulous product....worth fr money.. using it nearly 1 and half hour no heating issues.....my phone asking face unlock update. Can I update it.. anyone help,5.0
85,Good choice,only one word to describe.. awesome!!,4.0
86,Great product,The phone is quite good but there is a lot of trouble in ordering..🤔phone is just awesome..under 15k😍😍😍,5.0
87,Just wow!,nice product,5.0
88,Fabulous!,Best smartphone ever in India by xiomi!!,5.0
89,Awesome,product is good..no complaints but being 20mp front camera it's not that good..low light picture quality is worst..rest features of the gadget are best in price tag..flash sale is worst.and still waiting for miui 9.5oreo update 😈,5.0
90,Terrific purchase,All feature are cool 😎. Portrait mode works same like DSLR as compared to mobile camera lense. Because mobile camera lense are Small and DSLR was large with many inbuilt lense. Camera 9/10. Display 10/10. Design 9/10. I prefer original back cover which gives very good feeling. It's really beats all Oppo vivo phone.,5.0
91,Excellent,What a superb fast delivery I love flipkart just one day delivery awesome thank you flipkart and also the phone is superb no need to see anything,5.0
92,Classy product,Superb phone front facing camera amazing display is awesome Face unlock super 👌Battery life amazing nice look portrait selfie awesome,5.0
93,Terrific purchase,Fantastic product 10/10 in every aspects......thanks Xiaomi and Flipkart ... To give such amazing products,5.0
94,Best in the market!,Nice❤Phone📱....RN5Pro...,5.0
95,Worth every penny,"one of the best phones you can buy.i am a loyal mi customer having used all from red mi 1s to mi a1 all but this beast is totally different.beautiful body,super bright display,smooth performance and to top it all,the camera.both the rear cameras click super sharp images in good light.in low light the pics are ok if not detailed.the front 20mp is the star here with HDR n portrait mode.huge battery,lasts 2 days in moderate usage. don't think twice,go for it guys as soon as u get one.flipkart delivery was prompt,got it in one day.really happy and satisfied with this phone..",5.0
96,Wonderful,superb smartphone but late delivery by flipkart.,5.0
97,Just wow!,Really Awesome i loved 😍😍1. Performance2. battery life3. Screen resolution4. Fabulous #Camera5. Fantastic Body design,5.0
98,Perfect product!,awesome mob with great camera i love this mob,5.0
99,Worth the money,"Phone is perfect now at this price bracket without any competitors around as companies own MI A1 permanently discontinued. Coming to verdict- my opinion the phone should be priced at 13000/- during launch. As first few batches come impoted from China henceforth the price. Made in China with manufactured during January. So the question arises how Mi sold 3 lakh phones actually they have not. As always the screen has lots of stack/dead pixels, not really noticed unless you are in full brightness and full black screen. Coming to camera quality - front camera quality has improved a lot. Back camera can take decent photos in daylight. Lowlight & indoor shots are unusable. EIS in video is outstanding.Amazing battery life no heating issue. Don't worry if you cannot buy during first few sales just try next time.",4.0
100,Delightful,This phone is quite good in 15k. I have been a veey old customer for Mi. But I think this is the best phone ever in this range. camera 📷 battery 🔋and screen size all are good. I feel only notch display is missing here. Now a days Thats only in market.,4.0
101,Fabulous!,nice phone and camera,5.0
102,Just Superb👌👌.I love Mi.💝💝,Vibrant Display with Super Fast Speed.Selfie shooter is better than Rear Shooter......👍👍👍Paisa Asool.,5.0
103,Classy product,AwesomeJst one word,5.0
104,Mind-blowing purchase,Nice mobileGood camera portrait photographyBattery also goodI prefer to buy this,5.0
105,Awesome,Super phone .....amazing experience till now....will post detailed review in few days !!,5.0
106,Just wow!,superb mobile on this price segment,5.0
107,Awesome,best phone ever 10/10,5.0
108,Wonderful,Wow nice and very dashing phone m fist userin my district and ekart courier is so fast he delivered my parsal in 21 hour Thanks my RedMi Thanks FlipkartThanks ekart courier,5.0
109,Highly recommended,what a camera ! jst amazing !perfect phone no compromise no problem,5.0
110,Great product,Best mobile...no lags..no heating..,5.0
111,Super!,BEST PHONE AT 14K OR 15K RS.,5.0
112,Terrific purchase,best mobile in this price👌👌👍,5.0
113,Wonderful,Amazing  and Perfect Smartphone,5.0
114,Fabulous!,Best phone ever#big screen with best battery and camera acts as cherry on cake#camera creates magic while clicking pics#bokeh effect is perfect#great speed of delivery recived within 24hour# flipkart service awsome,5.0
115,Terrific purchase,"Thanks to flipkark first! Didn't expect an one day delivery. Coming to the mobile, no words to say. It's a brilliant attempt by Xiaomi. Nice in-hand feel. Stellar cameras. Excellent display. Stunning mobile at my budget. Thank you Xiaomi!",5.0
116,Classy product,packaging is not good..but the pinkish red colour  is just beautiful.. the clr is very  sweet.. and above all the features of the phone was just awesome...,5.0
117,Worth every penny,awesome yaar ...I'm totally surprised,5.0
118,Absolute rubbish!,"After many attempts to purchase a Redmi note 5 pro in flash sales, I finally got a chance to buy one on 6th July as a gift to my relative.turns out that the phone has a defective selfy camera. and till date even after multiple verifications by flipkart technicians replacement is not done. Sick and tired of flipkart service.this is the status of affairs for purchasing a flipkart assured product",1.0
119,Highly recommended,Such a cool phone. Really i Booked normally and i book Black color easily. Phone is really very beautiful and all features are great. Only 1 cons is. LED notifications is only single color this is bad for miss call and message notifications. But overall very good job by xiaomi,5.0
120,Highly recommended,POSITIVES* Beautiful design and striking looks* Vivid and high-resolution display* Good front cameras#RATTINGBattery.                 5/4.8*Display                 5/5.0*Camera.               5/4.8*Performance.     5/4.5*Software             5/4.8*Design.                5/4.5*  This is current best devices in 14k budget.No issues with batteryIt's performance as per the spaceI am most very happy with this this device for 14k Very better to buy with amazing design & displayOver all ratings.   5/4.75*I love Flipkart & redmi india,5.0
121,Worth every penny,Good phone in this price Good came both rear and front Bright 18:9 ratio displayBattery backup is good,5.0
122,Best in the market!,nice phonegood camerasuper Performance.....................................,5.0
123,Fabulous!,mi is the best phone in this year for this cost superb performance battery backup 5 .camara 5.display5. over all mi note 5pro is superb.it is the best best best phone....,5.0
124,Just wow!,good 📷 camara,5.0
125,Very Good,Perfectly awesome mobile ....and i had odered it in flash sale yesterday and i received this phone today ... Just delivered in a day,4.0
126,dont update softwre.camera battery become very por,super camera..but dont update software..i update software then camera become poor. afrer i update my phone camera work like 5 mp camera...poor piccs  battery back up after software update become poor ...dont update..,1.0
127,Just wow!,Awesome phone with good features. Mi's best phone till date.,5.0
128,Wonderful,best phone under 14kfront and rear camera was awesomefeatures are awesome UI IS AWESOMEE,5.0
129,Great product,Great phone at sch a price.. One thing i like most is the camera xiaomi does a great job in camera...Slow motion video also look great... Battery is good Display is also good,5.0
130,Unsatisfactory,"This much hype for this phone is too much. The time where company used to wait for customer is long gone, the so called new marketing strategy of making people to wait for product is becoming a trend. waiting for almost three months to book this product. After so many attempts to get hold of this device, finally I got it in my hand. But the feeling is more or less usual; holding a regular phone with usual display. don't expect anything remarkably fascinating out here.",1.0
131,Terrific,Excellent device with excellent features at a good price range. Best device at its price range. Camera quality is great. Battery performance is also good. Built and quality of device is excellent and looks great as well. Performance wise good device. No lagging and hanging so far while multi tasking. Overall very happy to buy this device. Comes with charger and USB to micro USB charger cable and black back cover :),5.0
132,Terrific,What a faster delivery by flipkart Good phone,5.0
133,Perfect product!,value for money.what a aligent look.back side is same as one plus 5T.nice performance.2 day bettery life .cover is very soft.smooth touch.no hanging problem.,5.0
134,Just wow!,Super duper hit redmi note 5 Pro in India great sale on Flipkart I love mi,5.0
135,Very Good,"front is better , rear is SO SO",4.0
136,Brilliant,nice mobile,5.0
137,Terrific,Plzz plzz plzzz Increase the product unit a lot of people wait for get this mob...so flipkart plz focus on this.....otherwise no one beat note 5 pro at this price,5.0
138,Horrible,No Return and Refund policy I'm very disappointed that purchase I'm unhappy,1.0
139,Classy product,Nice product,5.0
140,Perfect product!,awesome camera phone... perfect value for money phone 😊😊😊,5.0
141,Best in the market!,"look is nice and display is good , battery is very long use.",5.0
142,Really Nice,"good mobile ... looking cool specialy sky colour... looking nice dual camera set up ... one problem is the bazel is slightly larger. and price is increased 13,999 to 14,999.",4.0
143,Simply awesome,Perfect Phone for a photographer. An advanced camera with a good battery life. Love the Miui 9.5 with oreo update. Blazing fast with Snapdragon 636 and 4GB ram. Not a single laging problem even opening 30 apps in background and switching it. Thank you flipkart for this product and ontime delivery. It was really an awesome experience using this phone #mypro. Flipkart delivered it within 3 days.Pros : Camera both front and backUIBatterySpeedfast charging available via power bankCons:Camera bump keep it safe with a good back coverVideo recording not in 4k as it is in redmi note 5,5.0
144,Super!,nice mobile. super camera but  2 camera not working in phone is only for show in mobail it not different in photo shoot in,5.0
145,Not recommended at all,phone is great but I opted for exchange of my moto g4 plus but the service of flipkart in exchange process is worst my phone was tested also and it was showing 2050 rs in exchange value but at the time of pick up the pick up guy behavoiur was worst really he said that there is a crack in ur corner of handset but I show him that it is not crack it is scratch my phone is working fine and every thing camera speaker is in working conditions I talked to his senior also I clicked pic of that mobile and send that even his senior said that I don't think it's crack it's a scratch which is quite obvious in old phone but the pick up boy is so rude he said I'm. not going to take it if I take it my salary will b deducted by flipkart and all things I said ok I take that mobile with u to office I also come with u and if ur senior still not accept it I will pay cash towards to it he said no i don't have time u cancel the order or pay money otherwise I will go his behaviour is so rude... didn't expected this from. the brand like flipkart I was very loyal customer to flipkart but after this experience I have to think over before purchasing anything from. flipkart.. they should take action against this type of employees or workers who aare creating bad image of flipkart in market,1.0
146,Best in the market!,osm product battery life amazing,5.0
147,Highly recommended,value for money✌️👌👍,5.0
148,Must buy!,"Nice product. Solid build and light weight for a 4000mah battery; 7-8hrs screen on time. SD 636 with 4GB of RAM and adreno 509 GPU, is super fast and handles all graphics heavy game easily. 9.5.13 update brings oreo and dual 4g so that's cool. Charging time 2.5hrs. Cameras are very much capable and produces some very good pictures in good lighting conditions. Low light photography is hit or miss. Biggest disappointment is video. EIS works wonders but 1080p video doesn't look like fhd video and lacks details and seems washed out. Front camera is also very good.Overall a very compelling package but could have been priced 13,000₹. At 13k this would have been super value for money offering. Xiaomi can price this 15k because of negligible and incompetent competition in this price range. You can still blindly go for it.",5.0
149,Classy product,great,5.0
150,Worst experience ever!,Network problem issue,1.0
151,Excellent,nice,5.0
152,good,all over is good product but only one Problem in this Device that Charger bcz Charger Cable is too much short and Adopter Heating after Half n hour....,5.0
153,Excellent,"Hi,I also purchased this phone after reading most of the Ratings after 1st sale and by watching different videos on YouTube. These Ratings are given as per my fulfillment of Expectations.Positive points:1. Looks = 9/10 (one point less as I prefer 5-inch display. Though its 6 inches but it screen to body ratio make it look classic) 2. Camera = Rear 09/10; Front 10/10 (Added thing is it has front flash)3. Ram = 4 GB- 10/10 (Normal use of RAM is 45-50%) so you will always find 50% RAM available (You don't have to clean every-time as system does it Automatically, this is also + Point)4. ROM = ~53 GB for use from 64 GB (For me 32 GB was also enough) so 10/105. Processor = 10/10 (for me Quad core was also enough) as I am not gamer.6. Battery = 10/10 This is because battery backup was my main expectation and till time it hasn’t disappoint me. (+ point is this phone is having battery saving option, which add one more feather on points)7. Software = 10/10. As I am light-moderate user, but the software and the options given in this phone is awesome. within this price range it’s almost impossible to get all those features. (+ point for face unlock)8. Connectivity = 10/10. As this is VoLTE phone so I do not require to have separate calling app for making calls from Jio number. Call clarity as great on Both SIM.Lacking points:1.	I could not find Pinch to Zoom function while reading text messages.2.	Single color for all notification.3.	No head phones in BOX.4.	No separate slot for SIM & Memory card (For me I don’t have too much issue)5.	Still searching.Some people has given this product 1-2 star by saying Made in China product (it’s their choice after all), but let me tell you that, it’s MADE IN INDIA product. Some has given low rating because of C-Type port is not given. But I don’t find any advantage of having C-Type, rather I find it as disadvantage as your phone is not compatible for all other Micro port. (You may be needing to carry micro to C-Type adaptor)",5.0
154,Great phone except it wasn't exactly brand new (Spots).,"I have owned this phone for 6 days.Flipkart delivered it within 24 hours, Cheers to that.First thing is that the camera is awesome and usually the first clicks are enough for a good picture. Selfie flash does a manageable job in complete darkness.Loudspeaker is sufficiently loud.Display is flawless and even in mid-day direct sunlight, it is clearly visible.Audio output is a bit low via headphone jack.Call quality is good and no network drops so far.Ram struggles only when I open 3 high end games at a time.It's slim and build quality is good.MIUI is feature-rich and I have been using a new theme everyday.Charging time is 2 hours and I must tell that for a day of minimal usage with 1.5 to 2 hour screen on time, a half an hour charge is more than enough. I tried to kill the battery within 1 day and started at 100% when it was 10:00am. I kept the brightness to the max, GPS on high accuracy, WiFi, 4G, Bluetooth were on all the time. I played games for more than an hour and screen on time was 5 hours +. At the end of the day at 10:00 pm, I managed to get it  to 5% and I must say this is a great feat achieved by the phone. I am a hardcore user and I had almost given up on discharging it completely by the end of the day.I had been a big fan of Xiaomi but this is my first Xiaomi phone. The only problem was that I received the phone with a noticeable scratch and two spots in the back which I could not afford to report and return for a replacement as I need a phone.",5.0
155,Worthless,Very disappointed because of price increase due to heavy demand I hate you xiaomi,1.0
156,Must buy!,"BEST PHONE BY MI.Neglect negative reviews,go for it u never be disappointed.excellent phone,loved it.",5.0
157,Don't waste your money,received the item but facing huge issue with battery full battery is draining out within 8 to 9 hours facing terrible problem,1.0
158,Perfect product!,"just amazing.....😍all over performance is too good specifically battery ..under 15 k , mind blowing handset go for it.👌👌👌",5.0
159,Fabulous!,Very nice 👌,5.0
160,Awesome,the best 👍💯👍💯👍💯,5.0
161,Brilliant,first I was surprised that it was already Oreo version ..the battery backup is very good and you should use the back cover provided by Xiaomi in the box because phone is little slippery and do try the full screen mode it's awesome ..the build quality and look of the black beast is Awesome.only defect is that the notification lite is so dull and single colour it is unnoticed even in black colour handset thanks Flipkart,5.0
162,Best in the market!,camera clarity semma,5.0
163,Good quality product,"Good till now,only two days I am using this phone, after updating 1.5 gb & 353 mb now able to use android oreo verson. Camera quality is good but not like vivo v9, internet speed faster than mi note 4 . Led notification light is only available in one color(white). You will get a free back cover. will update more later",4.0
164,Classy product,Dual 4g update is good camera is ok performance is excellent,5.0
165,Delightful,nice phone . Love you mi,4.0
166,Wonderful,okk!reviewing almost after using 1 month...so here is...good.... almost average..performance is faad!😊speed is goodcamera is superb!(front is super lit!..... low light performance is unbeatable)sometimes lags (playing pubg in medium graphics)drains battery when playing games (especially pubg) heating too (sometimes while charging and playing pubg 😂)okk! overall goodram management is good almost giving 2.0 (avg),4.0
167,Terrific purchase,Good worth of money,5.0
168,Worth every penny,Full Paisa Vasool !! This is more Awesome if they provide Fast Charger & Mi Basics Earphones ......,5.0
169,DEFAULT in Phone,AFTER USING 1 MONTH MY VOLUM3 UP DOWN BUTTON IS NOT WORKING...!,1.0
170,Value-for-money,very good quality camera,4.0
